FID_gggg,Y_Bike_accidents_density,X1_Proportion_of_mainroad,X2_Proportion_of_busline,X3_Proportion_of_cycleline,X4_Proportion_of_mixedline,X5_Proportion_of_20limit,X6_Cross_road_density,X7_Carpark_density,X8_Altitude_STD,X9_TfcLight_density,X10_Light_density,X11_Light_flux_density,X12_Limit30
84,0.003289,0.160418599,0.009865734,0.051204072,0.013586116,0,0.02837412,0.046684754,5.757294869,0.056797329,0.096511279,0.810995614,0.928292043
86,0.001125,0.340403064,0.063576957,0.344516315,0.028899632,0,0.026215221,0.021912218,4.432144881,0.066862054,0.095923878,1.137553783,0.515278324
95,0.001733,0.35097243,0.079561635,0.179768918,0.065326885,0.006652338,0.03060097,0.039216777,9.821530448,0.056695971,0.098041941,0.894403951,0.159737339
96,0.001729,0.199115661,0.061967316,0.272966226,0.21531049,0,0.029270714,0.034922408,5.347516049,0.067187676,0.114974014,1.208427119,0.137381953
97,0.003108,0.171811216,0.041092639,0.399496764,0.185952575,0,0.022130516,0.011252805,1.175204173,0.074161341,0.216804036,1.376567915,0.03848074
98,0.00277,0.055818055,0.026112336,0.005030436,0.254656717,0.029575449,0.032070778,0.027276144,0.969710875,0.072718625,0.225987112,1.318624943,0.268245758
99,0.00227,0.015272274,0.021848872,0.086524884,0.193704945,0.026455319,0.042512786,0.01999687,1.485760726,0.034147066,0.149992076,0.977018402,0.438085634
100,0.003927,0.051924358,0.026248824,0.127518663,0.210651266,0.062943565,0.036093192,0.036289564,1.622893736,0.079137957,0.10945781,1.050727618,0.724420273
101,0.004316,0.290864884,0.005196928,0.323262861,0.148933041,0.015167788,0.030259395,0.043564629,3.832869813,0.106352873,0.086283774,0.838783479,0.853290339
113,0.001927,0.382093611,0.022637427,0.196921817,0.131076737,0,0.02919249,0.052796978,7.236826084,0.06912743,0.155596934,1.186310671,0.042276795
114,0.002525,0.236628461,0.088390123,0.012892768,0.132177733,0,0.028984998,0.049890555,7.298038195,0.091247198,0.132906821,1.158000926,0.004912214
116,0.002251,0.104533928,0.109266607,0.047352135,0.399536945,0.040204489,0.03240843,0.035964355,2.118990778,0.114914892,0.098620653,0.946902758,0.135290606
117,0.002362,0.053073409,0.033667309,0.354168706,0.2664677,0.089717316,0.034650376,0.041649151,3.525883006,0.088536649,0.081065565,0.850770004,0.846083547
118,0.003698,0.190274556,0.147853014,0.565824959,0.110920913,0.068411617,0.03456992,0.032877063,4.514240306,0.082059011,0.093686265,0.772325425,0.564831355
119,0.002515,0.196304506,0.011817678,0.310645136,0.018793495,0.015201442,0.03126293,0.036440545,13.91366134,0.055819616,0.094479139,0.793687489,0.503429864
121,0.001203,0.05916117,0.005812663,0.195508682,0.103421284,0.043450465,0.029854105,0.03428301,6.182861057,0.050412975,0.091968139,0.859904285,0.649505376
131,0.001333,0.438155079,0.019167534,0.058940553,0.154493553,0,0.030774187,0.035535045,1.699061246,0.083905363,0.156003798,1.401004559,0.04793654
132,0.002774,0.243147807,0.005436122,0.158988463,0.123496499,0,0.030011732,0.057249271,3.031335335,0.099467455,0.109101473,0.997395732,0.113960267
133,0.001905,0.134695394,4.66E-05,0.328446954,0.047001232,0,0.030197226,0.051154292,3.714482464,0.061251787,0.081208629,0.875300902,0.217879826
134,0.001578,0.134318743,0.139950722,0.231665073,0.247743391,0,0.032256892,0.045054463,13.26111255,0.059298336,0.068370586,0.767065825,0.387250086
135,0.001806,0.193223867,0.235528942,0.251172256,0.039461934,0.024670371,0.03470652,0.04237004,21.86533137,0.059743361,0.080246288,0.779126056,0.732973461
136,0.003222,0.171830475,0.088074462,0.369013193,0.209976591,0.013916834,0.03270718,0.039477949,5.378938399,0.096155834,0.086327299,0.949704307,0.403824337
137,0.004893,0.242220402,0.031439368,0.599243449,0.101970989,0.019168453,0.029510027,0.035123628,6.184785693,0.08616104,0.13601393,0.841012191,0.222161251
39,0.000867,0.329101785,0.009860059,0.066963017,0.158582899,0,0.031434092,0.021177188,2.100298109,0.05342775,0.144260028,1.866678327,0.190950092
57,0.000879,0.308039421,0.007602686,0.100932941,0.036976916,0.015775392,0.03155546,0.034339766,3.980082313,0.063257463,0.078204787,0.740145782,0.364469045
115,0.001488,0.197984742,0.012384287,0.099709644,0.30538618,0,0.028423306,0.048066638,4.015159848,0.090379169,0.095389211,1.060343094,0.004912214
139,0.000558,0.388977988,0.039980273,0.447896878,0.080510689,0,0.032474106,0.02237477,17.51977273,0.070137373,0.133244269,1.465469902,0.14843919
150,0.001038,0.55395258,0.011183042,0.084369653,0.206618358,0,0.028178428,0.0232485,3.265254033,0.047119728,0.169745189,1.118716018,0.14843919
11,0.001209,0.558959791,0.005507012,0.532484219,0.049135253,0,0.025549608,0.021543309,7.386844842,0.068031502,0.100233079,1.126220237,0.303101472
23,0.001256,0.549100564,0.02917899,0.403856476,0.066783629,0,0.025230524,0.017064628,8.505018167,0.05935978,0.102073695,1.077803475,0.131759991
25,0.001669,0.16195657,0.026764276,0.1771642,0.091964137,0,0.027050085,0.03402749,2.047848847,0.048285666,0.081908669,0.677882567,0.181659356
27,0.001522,0.15570959,0.043159175,0.322802177,0.177719873,0.283778805,0.028980411,0.046120576,6.524418544,0.057453382,0.122292823,0.78531179,0.544052981
43,0.001534,0.164961709,0.013598062,0.164390256,0.199585689,0.063288238,0.030727014,0.031191871,4.182691616,0.050529901,0.129509019,1.08855027,0.417444463
44,0.001869,0.343258343,0.016563347,0.289432566,0.373497963,0.013431483,0.033124234,0.04597757,3.351589611,0.061322301,0.103392909,0.920912604,0.231459916
48,0.001813,0.118049289,0.031380906,0.486091639,0.14926573,0,0.033573599,0.028604706,4.930476199,0.062648336,0.155445763,1.140825116,0.911431841
49,0.001793,0.228986624,0.025387386,0.463228981,0.064984433,0,0.027867484,0.048998968,4.993700848,0.054702839,0.107667356,0.878264841,0.892756632
67,0.002258,0.313301656,0.011269296,0.267060818,0.150064988,0,0.029353017,0.045683586,2.517050428,0.075246642,0.097248277,0.880714687,0.860053662
77,0.001854,0.251952328,0.011572022,0.253417908,0.040716055,0,0.030068007,0.023621709,8.039616931,0.041106188,0.090733853,0.937541776,0.113184338
78,0.000809,0.44673605,0.013254221,0.040329877,0.187606511,0,0.029381814,0.043288868,1.934605353,0.06574244,0.093101409,0.950169922,0.224019651
82,0.002493,0.00787501,0.063281783,0.177073303,0.103997166,0.308174295,0.032737912,0.029081902,1.614834927,0.062110633,0.096718096,1.014763724,0.625445833
85,0.001761,0.105755687,0.010727041,0.166156904,0.075026002,0.043617329,0.030477631,0.030744511,6.570111459,0.03218566,0.074139107,0.672533932,0.925729195
94,0.000656,0.330222042,0.045009599,0.245343465,0.009243607,0,0.02769818,0.039367971,4.354435895,0.053615427,0.080001341,0.675519469,0.403335609
102,0.002313,0.203475693,0.005513702,0.376320009,0.063330315,0,0.031348447,0.035975176,10.16866533,0.046314498,0.068739968,0.749060422,0.905905907
103,0.00172,0.063222541,0.006694045,0.198152167,0.09476687,0,0.033129975,0.036282481,8.24833088,0.032327519,0.071418597,0.71804865,0.860029699
120,0.001135,0.090069774,0.011829489,0.188419553,0.103288024,0.007060634,0.031442254,0.031491614,14.28271003,0.033959608,0.085984939,0.677287271,0.927970021
122,0.000824,0.438134969,0.009730995,0.607452399,0.097495047,0,0.02974931,0.021602576,5.705938598,0.114695034,0.286051062,3.993133229,0.254441611
138,0.001556,0.256579893,0.030646233,0.184208101,0.050777745,0,0.026506489,0.029217379,14.87101883,0.057932742,0.086899113,0.69872605,0.14843919
151,0.002029,0.179848471,0.010662244,0.138742654,0.172761017,0,0.030626418,0.036860551,5.71717899,0.038394346,0.094897366,0.743822128,0.537018477
75,0.00055,0.420121554,0.022907459,0.217154121,0.015678265,0,0.027089614,0.026722712,4.409076415,0.028190321,0.284838428,1.105789435,0.473641082
112,0.000854,0.333682849,0.007618292,0.252643291,0.047174122,0,0.029978006,0.016825263,3.582707564,0.041337194,0.13319288,1.353493318,0.406096811
130,0.000669,0.35351658,0.014218062,0.00378839,0.003657995,0,0.039320953,0.010432089,1.220335206,0.022602861,0.321522347,1.611232875,0.254441611
38,0.000735,0.622057342,0.00012303,0.013633593,0.055202076,0,0.042787482,0.014703602,1.158813651,0.071018398,0.360238251,3.983427681,0.190950092
149,0.001038,0.410464452,0.123931702,0.183067845,0.035652794,0,0.032343907,0.015739548,0.706088658,0.0351113,0.34194601,2.768024935,0.14843919
30,0.000873,0.152330306,0.040443645,0.303870215,0.067551752,0,0.034775762,0.008238363,1.778333557,0.050834875,0.157705805,1.243551956,0.234265089
59,0.001817,0.099830377,0.033131045,0.19641326,0.112231149,0.131349164,0.032098158,0.052386616,1.271606609,0.058240997,0.181940029,0.833313342,0.365217056
104,0.000779,0.288647331,0.011573813,0.339998507,0.107262459,0.018396942,0.032502907,0.021019844,11.55862821,0.065849203,0.101725666,1.064653424,0.406096811
22,0.000958,0.289391001,0.088965864,0.337983459,0.007922819,0,0.021705574,0.016279181,0.170412734,0.053306337,0.065435922,0.945836357,0.303101472
52,0.001177,0.298362664,0.084432895,0.074685775,0.201118061,0,0.016475865,0.02673125,1.81808938,0.011768475,0.04253463,0.837964997,0.364469045
31,0.001025,0.62398941,0.121350214,0.310993785,0.202687457,0,0.028819866,0.011846902,1.996667669,0.059234508,0.266669197,1.642431647,0.190950092
